Fecha,Año,Tipo,tiempo,calorias,Frecunecia cardiaca prom
11/3,2019,crossfit,00:30:48,273,138
12/3,2019,crossfit,00:23:58,365,160
13/3,2019,crossfit,00:28:45,603,145
14/3,2019,crossfit,00:29:34,523,153
15/3,2019,crossfit,00:42:30,657,157
16/3,2019,crossfit,00:36:08,604,168
18/3,2019,crossfit,00:14:36,217,156
19/3,2019,crossfit,00:41:01,551,131
20/3,2019,crossfit,00:37:32,492,144
21/3,2019,crossfit,00:43:35,573,142
23/3,2019,crossfit,00:32:09,583,175
26/3,2019,crossfit,00:40:16,552,147
27/3,2019,crossfit,00:55:20,744,144
28/3,2019,crossfit,00:50:49,776,150
29/3,2019,crossfit,01:19:09,1073,142
30/3,2019,crossfit,00:31:08,424,146
1/4,2019,crossfit,00:35:46,500,155
2/4,2019,crossfit,00:53:31,808,155
3/4,2019,crossfit,00:30:38,374,136
4/4,2019,crossfit,00:32:36,600,150
5/4,2019,crossfit,00:39:39,582,152
6/4,2019,crossfit,00:43:30,650,148
8/4,2019,crossfit,00:33:34,490,133
9/4,2019,crossfit,00:27:21,396,152
10/4,2019,crossfit,01:06:58,736,127
11/4,2019,crossfit,00:41:08,374,115
12/4,2019,crossfit,00:33:30,419,139
13/4,2019,crossfit,00:30:21,453,153
16/4,2019,crossfit,00:43:00,498,129
17/4,2019,crossfit,00:43:09,508,133
18/4,2019,crossfit,00:50:02,629,138
19/4,2019,crossfit,00:51:09,720,132
20/4,2019,crossfit,00:35:44,563,161
22/4,2019,crossfit,00:33:30,393,114
23/4,2019,crossfit,00:35:45,358,121
24/4,2019,crossfit,00:15:39,179,149
25/4,2019,crossfit,00:41:45,545,136
26/4,2019,crossfit,00:32:18,470,132
21/3,2020,corssfit,00:49:46,311,124
23/3,2020,corssfit,00:43:24,386,150
27/3,2020,corssfit,00:56:31,373,127
4/4,2020,corssfit,00:50:30,484,154
9/4,2020,corssfit,00:57:44,446,135
12/4,2020,corssfit,00:51:34,447,165
18/4,2020,corssfit,00:16:20,169,161
21/4,2020,corssfit,00:58:40,293,126
26/4,2020,corssfit,00:56:06,418,133
