Fecha,Año,Tipo,medicion,valor
11/3,2019,crossfit,tiempo,00:30:48
12/3,2019,crossfit,tiempo,00:23:58
13/3,2019,crossfit,tiempo,00:28:45
14/3,2019,crossfit,tiempo,00:29:34
15/3,2019,crossfit,tiempo,00:42:30
16/3,2019,crossfit,tiempo,00:36:08
18/3,2019,crossfit,tiempo,00:14:36
19/3,2019,crossfit,tiempo,00:41:01
20/3,2019,crossfit,tiempo,00:37:32
21/3,2019,crossfit,tiempo,00:43:35
23/3,2019,crossfit,tiempo,00:32:09
26/3,2019,crossfit,tiempo,00:40:16
27/3,2019,crossfit,tiempo,00:55:20
28/3,2019,crossfit,tiempo,00:50:49
29/3,2019,crossfit,tiempo,01:19:09
30/3,2019,crossfit,tiempo,00:31:08
1/4,2019,crossfit,tiempo,00:35:46
2/4,2019,crossfit,tiempo,00:53:31
3/4,2019,crossfit,tiempo,00:30:38
4/4,2019,crossfit,tiempo,00:32:36
5/4,2019,crossfit,tiempo,00:39:39
6/4,2019,crossfit,tiempo,00:43:30
8/4,2019,crossfit,tiempo,00:33:34
9/4,2019,crossfit,tiempo,00:27:21
10/4,2019,crossfit,tiempo,01:06:58
11/4,2019,crossfit,tiempo,00:41:08
12/4,2019,crossfit,tiempo,00:33:30
13/4,2019,crossfit,tiempo,00:30:21
16/4,2019,crossfit,tiempo,00:43:00
17/4,2019,crossfit,tiempo,00:43:09
18/4,2019,crossfit,tiempo,00:50:02
19/4,2019,crossfit,tiempo,00:51:09
20/4,2019,crossfit,tiempo,00:35:44
22/4,2019,crossfit,tiempo,00:33:30
23/4,2019,crossfit,tiempo,00:35:45
24/4,2019,crossfit,tiempo,00:15:39
25/4,2019,crossfit,tiempo,00:41:45
26/4,2019,crossfit,tiempo,00:32:18
21/3,2020,crossfit,tiempo,00:49:46
23/3,2020,crossfit,tiempo,00:43:24
27/3,2020,crossfit,tiempo,00:56:31
4/4,2020,crossfit,tiempo,00:50:30
9/4,2020,crossfit,tiempo,00:57:44
12/4,2020,crossfit,tiempo,00:51:34
18/4,2020,crossfit,tiempo,00:16:20
21/4,2020,crossfit,tiempo,00:58:40
26/4,2020,crossfit,tiempo,00:56:06
11/3,2019,crossfit,calorias,273
12/3,2019,crossfit,calorias,365
13/3,2019,crossfit,calorias,603
14/3,2019,crossfit,calorias,523
15/3,2019,crossfit,calorias,657
16/3,2019,crossfit,calorias,604
18/3,2019,crossfit,calorias,217
19/3,2019,crossfit,calorias,551
20/3,2019,crossfit,calorias,492
21/3,2019,crossfit,calorias,573
23/3,2019,crossfit,calorias,583
26/3,2019,crossfit,calorias,552
27/3,2019,crossfit,calorias,744
28/3,2019,crossfit,calorias,776
29/3,2019,crossfit,calorias,1073
30/3,2019,crossfit,calorias,424
1/4,2019,crossfit,calorias,500
2/4,2019,crossfit,calorias,808
3/4,2019,crossfit,calorias,374
4/4,2019,crossfit,calorias,600
5/4,2019,crossfit,calorias,582
6/4,2019,crossfit,calorias,650
8/4,2019,crossfit,calorias,490
9/4,2019,crossfit,calorias,396
10/4,2019,crossfit,calorias,736
11/4,2019,crossfit,calorias,374
12/4,2019,crossfit,calorias,419
13/4,2019,crossfit,calorias,453
16/4,2019,crossfit,calorias,498
17/4,2019,crossfit,calorias,508
18/4,2019,crossfit,calorias,629
19/4,2019,crossfit,calorias,720
20/4,2019,crossfit,calorias,563
22/4,2019,crossfit,calorias,393
23/4,2019,crossfit,calorias,358
24/4,2019,crossfit,calorias,179
25/4,2019,crossfit,calorias,545
26/4,2019,crossfit,calorias,470
21/3,2020,crossfit,calorias,311
23/3,2020,crossfit,calorias,386
27/3,2020,crossfit,calorias,373
4/4,2020,crossfit,calorias,484
9/4,2020,crossfit,calorias,446
12/4,2020,crossfit,calorias,447
18/4,2020,crossfit,calorias,169
21/4,2020,crossfit,calorias,293
26/4,2020,crossfit,calorias,418
11/3,2019,crossfit,heartrate,138
12/3,2019,crossfit,heartrate,160
13/3,2019,crossfit,heartrate,145
14/3,2019,crossfit,heartrate,153
15/3,2019,crossfit,heartrate,157
16/3,2019,crossfit,heartrate,168
18/3,2019,crossfit,heartrate,156
19/3,2019,crossfit,heartrate,131
20/3,2019,crossfit,heartrate,144
21/3,2019,crossfit,heartrate,142
23/3,2019,crossfit,heartrate,175
26/3,2019,crossfit,heartrate,147
27/3,2019,crossfit,heartrate,144
28/3,2019,crossfit,heartrate,150
29/3,2019,crossfit,heartrate,142
30/3,2019,crossfit,heartrate,146
1/4,2019,crossfit,heartrate,155
2/4,2019,crossfit,heartrate,155
3/4,2019,crossfit,heartrate,136
4/4,2019,crossfit,heartrate,150
5/4,2019,crossfit,heartrate,152
6/4,2019,crossfit,heartrate,148
8/4,2019,crossfit,heartrate,133
9/4,2019,crossfit,heartrate,152
10/4,2019,crossfit,heartrate,127
11/4,2019,crossfit,heartrate,115
12/4,2019,crossfit,heartrate,139
13/4,2019,crossfit,heartrate,153
16/4,2019,crossfit,heartrate,129
17/4,2019,crossfit,heartrate,133
18/4,2019,crossfit,heartrate,138
19/4,2019,crossfit,heartrate,132
20/4,2019,crossfit,heartrate,161
22/4,2019,crossfit,heartrate,114
23/4,2019,crossfit,heartrate,121
24/4,2019,crossfit,heartrate,149
25/4,2019,crossfit,heartrate,136
26/4,2019,crossfit,heartrate,132
21/3,2020,crossfit,heartrate,124
23/3,2020,crossfit,heartrate,150
27/3,2020,crossfit,heartrate,127
4/4,2020,crossfit,heartrate,154
9/4,2020,crossfit,heartrate,135
12/4,2020,crossfit,heartrate,165
18/4,2020,crossfit,heartrate,161
21/4,2020,crossfit,heartrate,126
26/4,2020,crossfit,heartrate,133
