Start,Finish,Active Calories (kcal)
11-Mar-2019 00:00,12-Mar-2019 00:00,0.825961832486653
12-Mar-2019 00:00,13-Mar-2019 00:00,0.825961832486652
13-Mar-2019 00:00,14-Mar-2019 00:00,0.825961832486653
14-Mar-2019 00:00,15-Mar-2019 00:00,0.825961832486653
15-Mar-2019 00:00,16-Mar-2019 00:00,0.825961832486653
16-Mar-2019 00:00,17-Mar-2019 00:00,0.825961832486653
17-Mar-2019 00:00,18-Mar-2019 00:00,0.825961832486652
18-Mar-2019 00:00,19-Mar-2019 00:00,0.825961832486653
19-Mar-2019 00:00,20-Mar-2019 00:00,1124.44296595883
20-Mar-2019 00:00,21-Mar-2019 00:00,978.03777008928
21-Mar-2019 00:00,22-Mar-2019 00:00,1314.53423407886
22-Mar-2019 00:00,23-Mar-2019 00:00,234.684
23-Mar-2019 00:00,24-Mar-2019 00:00,1133.491
24-Mar-2019 00:00,25-Mar-2019 00:00,559.891000000001
25-Mar-2019 00:00,26-Mar-2019 00:00,546.718
26-Mar-2019 00:00,27-Mar-2019 00:00,1090.931
27-Mar-2019 00:00,28-Mar-2019 00:00,1174.09799999999
28-Mar-2019 00:00,29-Mar-2019 00:00,1477.238
29-Mar-2019 00:00,30-Mar-2019 00:00,1559.19556219783
30-Mar-2019 00:00,31-Mar-2019 00:00,824.813437802181
31-Mar-2019 00:00,01-Apr-2019 00:00,663.821000000001
01-Apr-2019 00:00,02-Apr-2019 00:00,1108.13499999998
02-Apr-2019 00:00,03-Apr-2019 00:00,996.083999999993
03-Apr-2019 00:00,04-Apr-2019 00:00,1159.22499999999
04-Apr-2019 00:00,05-Apr-2019 00:00,1361.31019991016
05-Apr-2019 00:00,06-Apr-2019 00:00,990.493999999999
06-Apr-2019 00:00,07-Apr-2019 00:00,1352.46385081623
07-Apr-2019 00:00,08-Apr-2019 00:00,1097.9821491837
08-Apr-2019 00:00,09-Apr-2019 00:00,1038.748
09-Apr-2019 00:00,10-Apr-2019 00:00,1072.149
10-Apr-2019 00:00,11-Apr-2019 00:00,1871.94299999999
11-Apr-2019 00:00,12-Apr-2019 00:00,1056.16521614019
12-Apr-2019 00:00,13-Apr-2019 00:00,898.293000000003
13-Apr-2019 00:00,14-Apr-2019 00:00,810.836999999997
14-Apr-2019 00:00,15-Apr-2019 00:00,424.681999999999
15-Apr-2019 00:00,16-Apr-2019 00:00,595.353000000002
16-Apr-2019 00:00,17-Apr-2019 00:00,1153.382
17-Apr-2019 00:00,18-Apr-2019 00:00,1167.52618928096
18-Apr-2019 00:00,19-Apr-2019 00:00,1214.35829180539
19-Apr-2019 00:00,20-Apr-2019 00:00,1386.69400222469
20-Apr-2019 00:00,21-Apr-2019 00:00,1013.14551668901
21-Apr-2019 00:00,22-Apr-2019 00:00,375.989
22-Apr-2019 00:00,23-Apr-2019 00:00,814.618999999999
23-Apr-2019 00:00,24-Apr-2019 00:00,1053.307
24-Apr-2019 00:00,25-Apr-2019 00:00,972.146
25-Apr-2019 00:00,26-Apr-2019 00:00,1197.04
26-Apr-2019 00:00,27-Apr-2019 00:00,976.985057642093
